,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.42871,0.03617,0.36805,0.49862,1.00198
gamma,0.07792,0.03224,0.02648,0.13616,1.00148
rho,0.03323,0.01012,0.01617,0.05215,1.00131
i0,3.23488,1.0907,1.37912,5.24253,1.00175
R0,4.10933,0.91341,2.57085,5.89695,1.00126
