,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.33543,0.02675,0.28918,0.38624,1.00128
gamma,0.07539,0.02344,0.03543,0.11767,1.00293
rho,0.03883,0.01158,0.01855,0.05935,1.00309
i0,36.44156,11.09439,17.0762,56.06644,1.00281
R0,3.03693,0.46794,2.25253,3.97438,1.00304
