,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.31907,0.01988,0.28146,0.35599,1.00062
γ,0.1236,0.0123,0.10001,0.14581,1.00103
ρ,0.00799,0.00246,0.004,0.01253,1.00129
i0,388.86405,138.7292,152.16201,637.45312,1.001
R0,2.43796,0.18355,2.11335,2.79641,1.00046
