,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.32557,0.02648,0.28198,0.37735,1.00217
gamma,0.07643,0.02346,0.03688,0.11852,1.00228
rho,0.03871,0.01168,0.01985,0.06151,1.00495
i0,41.44718,12.95003,19.81423,64.73748,1.00356
R0,2.92041,0.43379,2.19125,3.75645,1.00122
