,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.23978,0.07765,0.07343,0.31788,1.4422
gamma,0.07291,0.02115,0.04084,0.11538,1.05905
rho,0.03924,0.01153,0.02008,0.06099,1.02117
i0,134.7777,141.61049,27.24612,457.77031,1.43958
R0,2.15271,0.67119,0.85005,3.03655,1.44025
