,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.16096,0.03647,0.10451,0.21638,1.00503
gamma,0.07674,0.01575,0.04846,0.10545,1.00338
rho,0.03706,0.00754,0.02261,0.05023,0.99959
i0,412.91753,191.46679,0.1095,730.10203,1.00389
R0,1.42672,0.32295,1.02893,1.9076,1.00343
