,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.29474,0.02649,0.24974,0.34551,1.00111
gamma,0.07654,0.0233,0.0366,0.11868,1.00339
rho,0.03893,0.01144,0.02035,0.06142,1.0032
i0,56.43554,16.79266,28.60406,87.6057,1.00359
R0,2.63177,0.37118,2.00931,3.34567,1.00156
