,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.27325,0.02707,0.22453,0.32267,1.0024
gamma,0.08055,0.02522,0.03816,0.1282,1.0023
rho,0.03582,0.00715,0.02295,0.04918,1.00015
i0,34.2796,8.59539,18.95682,50.22975,1.00056
R0,2.41533,0.31723,1.82768,2.99632,1.00204
