,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.28854,0.01521,0.25955,0.31575,1.00003
γ,0.12359,0.01187,0.10074,0.14517,1.00195
ρ,0.00795,0.0024,0.00388,0.01244,1.00132
i0,122.0392,45.8,48.42385,208.09105,1.00143
R0,2.20379,0.13424,1.9552,2.45562,1.00043
