,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.21993,0.03276,0.16642,0.28117,1.00401
gamma,0.08572,0.02787,0.0389,0.13531,1.00368
rho,0.03643,0.00729,0.02411,0.05102,1.00454
i0,104.05602,50.86492,20.41636,195.18829,1.0034
R0,1.84476,0.25056,1.42327,2.33359,1.00591
