,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.19513,0.03067,0.13863,0.24787,1.00797
gamma,0.08745,0.02641,0.04358,0.13734,1.00555
rho,0.03712,0.00749,0.02471,0.05174,1.00228
i0,147.93966,73.25114,24.79301,284.82517,1.00393
R0,1.59526,0.20875,1.26091,1.97941,1.00265
