,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.30454,0.03178,0.24962,0.36694,1.00079
γ,0.06888,0.02043,0.03626,0.10898,1.00065
ρ,0.00896,0.00468,0.00232,0.0175,1.00245
i0,141.37385,86.38926,24.47622,301.65336,1.0019
R0,4.12225,0.8978,2.66653,5.83085,1.00208
