date,cumDeath
2021-01-13,8709
2021-01-14,8758
2021-01-15,8831
2021-01-16,8871
2021-01-17,8920
2021-01-18,8972
2021-01-19,9038
2021-01-20,9078
2021-01-21,9128
2021-01-22,9177
2021-01-23,9224
2021-01-24,9272
2021-01-25,9309
2021-01-26,9355
2021-01-27,9392
2021-01-28,9439
2021-01-29,9480
2021-01-30,9487
2021-01-31,9523
2021-02-01,9558
2021-02-02,9584
2021-02-03,9605
2021-02-04,9635
2021-02-05,9658
2021-02-06,9688
2021-02-07,9716
2021-02-08,9629
2021-02-09,9760
2021-02-10,9785
2021-02-11,9799
2021-02-12,9815
2021-02-13,9835
2021-02-14,9853
2021-02-15,9872
2021-02-16,9881
2021-02-17,9903
2021-02-18,9913
2021-02-19,9925
2021-02-20,9935
2021-02-21,9946
2021-02-22,9958
2021-02-23,9969
2021-02-24,9980
2021-02-25,9994
2021-02-26,10002
2021-02-27,10009
2021-02-28,10016
2021-03-01,10027
2021-03-02,10035
2021-03-03,10043
2021-03-04,10049
2021-03-05,10059
2021-03-06,10067
2021-03-07,10074
2021-03-08,10083
2021-03-09,10093
2021-03-10,10105
2021-03-11,10113
2021-03-12,10120
2021-03-13,10132
2021-03-14,10143
2021-03-15,10152
2021-03-16,10164
2021-03-17,10175
2021-03-18,10181
2021-03-19,10189
2021-03-20,10195
2021-03-21,10202
2021-03-22,10207
2021-03-23,10219
2021-03-24,10229
2021-03-25,10241
2021-03-26,10245
2021-03-27,10255
2021-03-28,10264
2021-03-29,10271
2021-03-30,10285
2021-03-31,10297
2021-04-01,10308
2021-04-02,10313
2021-04-03,10323
2021-04-04,10331
2021-04-05,10351
2021-04-06,10365
2021-04-07,10378
2021-04-08,10383
2021-04-09,10388
2021-04-10,10392
2021-04-11,10401
2021-04-12,10406
2021-04-13,10412
2021-04-14,10422
2021-04-15,10425
2021-04-16,10431
2021-04-17,10441
2021-04-18,10446
2021-04-19,10458
2021-04-20,10465
2021-04-21,10472
2021-04-22,10476
2021-04-23,10490
2021-04-24,10495
2021-04-25,10504
2021-04-26,10513
2021-04-27,10529
2021-04-28,10537
2021-04-29,10544
2021-04-30,10555
2021-05-01,10565
2021-05-02,10571
2021-05-03,10578
2021-05-04,10582
2021-05-05,10593
2021-05-06,10598
2021-05-07,10608
2021-05-08,10612
2021-05-09,10618
2021-05-10,10621
2021-05-11,10625
2021-05-12,10628
2021-05-13,10632
2021-05-14,10637
2021-05-15,10639
2021-05-16,10647
2021-05-17,10650
2021-05-18,10654
2021-05-19,10660
2021-05-20,10663
2021-05-21,10671
2021-05-22,10681
2021-05-23,10684
2021-05-24,10688
2021-05-25,10692
2021-05-26,10693
2021-05-27,10700
2021-05-28,10705
2021-05-29,10710
2021-05-30,10710
2021-05-31,10712
2021-06-01,10712
2021-06-02,10715
2021-06-03,10721
2021-06-04,10726
2021-06-05,10728
2021-06-06,10732
2021-06-07,10734
2021-06-08,10738
2021-06-09,10741
2021-06-10,10745
2021-06-11,10747
2021-06-12,10748
2021-06-13,10749
2021-06-14,10749
2021-06-15,10752
2021-06-16,10757
2021-06-17,10759
2021-06-18,10761
2021-06-19,10762
2021-06-20,10764
2021-06-21,10764
2021-06-22,10765
2021-06-23,10766
2021-06-24,10769
2021-06-25,10771
2021-06-26,10771
2021-06-27,10773
2021-06-28,10773
2021-06-29,10775
2021-06-30,10773
2021-07-01,10773
2021-07-02,10773
2021-07-03,10773
2021-07-04,10774
2021-07-05,10774
2021-07-06,10774
2021-07-07,10774
2021-07-08,10774
2021-07-09,10774
2021-07-10,10774
2021-07-11,10776
2021-07-12,10776
2021-07-13,10777
2021-07-14,10777
2021-07-15,10777
2021-07-16,10777
2021-07-17,10778
2021-07-18,10778
2021-07-19,10778
2021-07-20,10778
2021-07-21,10780
2021-07-22,10780
2021-07-23,10780
2021-07-24,10781
2021-07-25,10782
2021-07-26,10784
2021-07-27,10787
2021-07-28,10791
2021-07-29,10793
2021-07-30,10793
2021-07-31,10793
2021-08-01,10794
2021-08-02,10794
2021-08-03,10796
2021-08-04,10796
2021-08-05,10796
2021-08-06,10797
2021-08-07,10797
2021-08-08,10798
2021-08-09,10800
2021-08-10,10802
2021-08-11,10805
2021-08-12,10807
2021-08-13,10808
2021-08-14,10810
2021-08-15,10813
2021-08-16,10817
2021-08-17,10819
2021-08-18,10821
2021-08-19,10828
2021-08-20,10834
2021-08-21,10838
2021-08-22,10841
2021-08-23,10845
2021-08-24,10853
2021-08-25,10857
